Position Julie_R1_Bef_S4_cell123_Position.csv
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
0.114292,0.713745,0.00160257,um,Spot,Position,1,1000000000,0,
0.150438,1.66018,0.00160257,um,Spot,Position,1,1000000001,1,
0.121118,0.706334,0.00160257,um,Spot,Position,2,1000000000,2,
0.165299,1.64875,0.00160257,um,Spot,Position,2,1000000001,3,
0.130966,0.696218,0.00160257,um,Spot,Position,3,1000000000,4,
0.186749,1.6433,0.00160257,um,Spot,Position,3,1000000001,5,
0.139687,0.691904,0.00160257,um,Spot,Position,4,1000000000,6,
0.193131,1.63093,0.00160257,um,Spot,Position,4,1000000001,7,
0.138784,0.688762,0.00160257,um,Spot,Position,5,1000000000,8,
0.195989,1.62761,0.00160257,um,Spot,Position,5,1000000001,9,
0.145574,0.685011,0.00160257,um,Spot,Position,6,1000000000,10,
0.195394,1.62543,0.00160257,um,Spot,Position,6,1000000001,11,
0.149774,0.685527,0.00160257,um,Spot,Position,7,1000000000,12,
0.200026,1.61957,0.00160257,um,Spot,Position,7,1000000001,13,
0.157567,0.681072,0.00160257,um,Spot,Position,8,1000000000,14,
0.19954,1.61377,0.00160257,um,Spot,Position,8,1000000001,15,
0.162363,0.671273,0.00160257,um,Spot,Position,9,1000000000,16,
0.20571,1.60501,0.00160257,um,Spot,Position,9,1000000001,17,
0.16535,0.66736,0.00160257,um,Spot,Position,10,1000000000,18,
0.213967,1.58388,0.00160257,um,Spot,Position,10,1000000001,19,
0.158454,0.668475,0.00160257,um,Spot,Position,11,1000000000,20,
0.261757,1.54786,0.00160257,um,Spot,Position,11,1000000001,21,
0.162965,0.664753,0.00160257,um,Spot,Position,12,1000000000,22,
0.272191,1.52913,0.00160257,um,Spot,Position,12,1000000001,23,
0.16942,0.668584,0.00160257,um,Spot,Position,13,1000000000,24,
0.271749,1.52946,0.00160257,um,Spot,Position,13,1000000001,25,
0.176884,0.665799,0.00160257,um,Spot,Position,14,1000000000,26,
